Model,Accuracy mean,Accuracy std,F1 mean,F1 std,Seeds
GAMS-Net,0.8939281052281052,0.019980473960931847,0.8964426671755751,0.020443702015830775,"[42, 123, 2024]"
MobileNetV2,0.9488692973692974,0.0040023418007921726,0.9504201148472969,0.003491653678947444,"[42, 123, 2024]"
EfficientNetB0,0.9583611388611389,0.001430814683360437,0.9599760093689448,0.001375860596729259,"[42, 123, 2024]"
ResNet18,0.937240293040293,0.007303945571591839,0.9386766890106116,0.0061430894680439135,"[42, 123, 2024]"
ShuffleNetV2,0.9419049617049616,0.003390697246353336,0.9429722097352334,0.003187551300679218,"[42, 123, 2024]"
PlainCNN,0.8569929070929071,0.008001147372913135,0.859995195444469,0.007466486501442128,"[42, 123, 2024]"
